"id","name","address","phone","email","website","sub_district_id","nu_district_id","created_by","updated_by","created_at","updated_at","lat","long"
46,MWCNU BABAKAN CIPARAY,Alamat Sekretariat. : Majelis Attaqwa  Jln/Gang.Pagarsih Barat IV.Rt.04 Rw.07.Situ Aksan Kel.Sukahaji Kec.Bacip kota Bandung. 40221.,"08122019974",mwcnubacip17@gmail.com,"",3273020,79,19,19,"2020-06-12 13:21:08","2020-06-13 13:49:42","",""
47,MWCNU ANDIR,"","081220151260","","",3273180,79,19,19,"2020-06-12 13:21:59","2020-06-18 14:17:59","",""
48,MWCNU SUKASARI,Jl Cijero kaso no 82 Rt 007/001 kel sarijadi kec sukasari Kota Bandung,"081322846232",mwc.nu.sukasari@gmail.com,"",3273250,79,19,19,"2020-06-12 13:23:10","2020-06-18 14:20:19","",""
49,MWCNU SUKAJADI,"Sukajadi No. 140
Bandung 40161","082120202471","","",3273240,79,19,19,"2020-06-12 13:24:03","2020-06-18 14:19:06","",""
50,MWCNU REGOL,"","082127126998","","",3273060,79,19,19,"2020-06-12 13:24:59","2020-06-18 14:21:24","",""
51,MWCNU KIARACONDONG,"","085220410827","","",3273150,79,19,19,"2020-06-12 13:25:46","2020-06-18 14:22:12","",""
52,MWCNU BATUNUNGGAL,Jl Binong Jati II No 118 RT 05/06 Kel Binong Kec Batununggal Bandung,"081322360933","","",3273160,79,19,19,"2020-06-12 13:26:25","2020-06-27 09:02:54","",""
53,MWCNU LENGKONG,"","82200062988","","",3273070,79,19,19,"2020-06-12 13:27:00","2020-06-18 14:23:43","",""
54,MWCNU ASTANAANYAR,"Jl, bapak suhaya no 15 Rt 07/06 Kel yengseret Kec Astana anyar Bandung","08122382770",cholid.wachyudin@gmail.com,"",3273050,79,19,19,"2020-06-12 13:27:48","2020-09-25 13:46:23","",""
55,MWCNU ANTAPANI,"","08139487640","","",3273141,79,19,19,"2020-06-12 13:28:33","2020-06-18 14:25:30","",""
56,MWCNU CIBEUNYING KALER,"","081395195958","","",3273220,79,19,19,"2020-06-12 13:29:18","2020-06-18 14:26:16","",""
57,MWCNU CIBEUNYING KIDUL,"","082262644500","","",3273210,79,19,19,"2020-06-12 13:29:53","2020-06-18 14:27:14","",""
58,MWCNU COBLONG,"","81321702164","","",3273230,79,19,19,"2020-06-12 13:30:27","2020-06-18 14:28:31","",""
59,MWCNU CIDADAP,"","08562139706","","",3273260,79,19,19,"2020-06-12 13:31:03","2020-06-18 14:29:22","",""
60,MWCNU BANDUNG WETAN,"","087824074798","","",3273200,79,19,19,"2020-06-12 13:31:50","2020-06-18 14:30:05","",""
61,MWCNU BANDUNG KIDUL,"Alamat : Komplek Sapta Taruna PU B6 no.11, Kel.Kujangsari, Kec.Bandung Kidul.","085352514399","","",3273080,79,19,19,"2020-06-12 13:32:34","2020-06-18 14:30:54","",""
62,MWCNU GEDEBAGE,"","81214445412","","",3273101,79,19,19,"2020-06-12 13:33:04","2020-06-18 14:31:50","",""
63,MWCNU BUAHBATU,Jln.margasari no 221 rt/rw 04/10 kel. Margasari kec.buah batu kota bandung,"081321929160","","",3273090,79,19,19,"2020-06-12 13:33:32","2020-06-18 14:32:28","",""
64,MWCNU RANCASARI,komp.  Pemda ciwastra no. 52 Rt/ Rw 005/015 margasari buah batu Bandung,"0872383824","","",3273100,79,19,19,"2020-06-12 13:34:07","2020-06-18 14:33:17","",""
65,MWCNU BOJONGLOA KIDUL, Jl Cibaduyut Raya Blok TVRI III Rt 03/03 Cibaduyut Wetan Kota Bandung,"081312706512","","",3273040,79,19,19,"2020-06-12 13:34:44","2020-06-18 14:40:19","",""
66,MWCNU BOJONGLOA KALER,Jl. Pagarsih Rt 02 Rw 01 Kel. Babakan Tarogong Kec. Bojongloa Kaler Bandung,"081573956977",mwcnubokal@gmail.com,"",3273030,79,19,19,"2020-06-12 13:35:25","2020-06-18 14:34:48","",""
67,MWCNU UJUNG BERUNG,"Alamat : Jl.Cigending 
                Rt 02
                Rw 03
                kelurahan pasirwangi
                Kecamatan Ujung berung
                Kota Bandung","83829781088","","",3273120,79,19,19,"2020-06-12 13:36:06","2020-06-18 14:35:41","",""
68,MWCNU CIBIRU,"","08554418966","","",3273110,79,19,19,"2020-06-12 13:36:43","2020-06-18 14:36:35","",""
69,MWCNU CINAMBO,"","0813200045566","","",3273121,79,19,19,"2020-06-12 13:37:16","2020-06-18 14:37:19","",""
70,MWCNU PANYILEUKAN,"","081910456541","","",3273111,79,19,19,"2020-06-12 13:37:47","2020-06-18 14:38:01","",""
71,MWCNU MANDALAJATI,"","082217410605","","",3273142,79,19,19,"2020-06-12 13:38:22","2020-06-18 14:38:39","",""
72,MWCNU ARCAMANIK,"","085222727775","","",3273130,79,19,19,"2020-06-12 13:39:01","2020-06-18 14:39:16","",""
74,MWCNU PAMULIHAN,Cinta mulya rt 02 rw 03  Desa Cilembu ,"082240993208","","",3211032,69,22,22,"2020-06-17 01:56:34","2021-09-08 11:18:15",-6.9127612 ,"107.8338718"
75,MWCNU Cipatat,Mesdjid Maulana Ridwan Desa Mandalasari Kecamatan Cipatat KBB,"","","",3217080,75,20,20,"2020-06-17 13:50:07","2021-09-03 06:14:27","",""
76,MWCNU Cipeundeuy,Pondok Pesantren Darul Irfan Kp Cijawa Kec. Cipeundeuy Kabupaten Bandung Barat,"081802066875",Kamilmustopa6@gmail.com,"",3217150,75,20,20,"2020-06-17 13:55:15","2021-08-18 17:12:41",-6735456107372550,-735456107372556
77,MWCNU Cikalongwetan,"""Jl. Raya Cikalongwetan
Kp. Ciawitali 01/21 Desa Mandalasari Kec. Cikalongwetan Kab. Bandung Barat 40556
(Komplek Pesantren Diniyah Babussalam)""","081321144449",mwcnucikalongwetan@gmail.com,"",3217140,75,20,20,"2020-06-17 13:56:28","2020-06-19 06:34:49",-6.738.366,"101.438.284"
78,MWCNU Cisarua,Jl.Pondok RT 02/04 Desa Pasirlangu Kec. Cisarua KBB,"087822397996",mwcnucisarua@gmail.com,"",3217130,75,20,20,"2020-06-18 05:33:20","2021-08-31 03:55:14",-6801595,"107535666"
79,DAWUAN,"Majelis Ta`lim Al-Huriyyah, Dusun Dawuan Babakan Oncom, Desa Dawuan Kaler,Kec. Dawuan, Kab. Subang 41271 ","085222483945","","",3213081,88,17,,"2020-06-29 03:01:04","2020-06-29 03:01:04",-6.5459977,"107.6894739"
80,MWCNU PAMANUKAN,Jl. Eyang Tirtapraja No. 43 Kecamatan Pamanukan Kabupaten Subang 41254,"",mwcnupamanukan@gmail.com,"",,88,17,,"2020-06-30 23:28:53","2020-06-30 23:28:53",-6.2853214,"107.8086113"
81,MWCNU TOMO,Jl Fatmawati /Tolengas-Jatigede.Dsn Margahurip Rt 02/01 Ds Marongge Kec Tomo Kabupaten Sumedang 45362 ,"085320738013","","",3211120,69,22,22,"2020-07-07 01:01:34","2021-09-08 11:22:57",-6.788897,"108.1165117"
82,MWCNU TANJUNGKERTA,Jl Mesjid no 7 Dsn Sukamantri Rt 01 Rw 03 Ds Sukamantri Kec Tanjungkerta Kabupaten Sumedang 45354 ,"082240431177","","",3211170,69,22,,"2020-07-07 01:05:36","2020-07-07 01:05:36",-6.7633635,"107.8619952"
83,MWCNU BUAHDUA,: Jl. Cilangkap Buahdua (Madrasah Bina Ummah) Dsn Cileungsing Rt 09 Rw 03 Ds Cilangkap Kec Buahdua Kabupaten Sumedang 45392 ,"082116557261","","",3211180,69,22,,"2020-07-07 01:08:11","2020-07-07 01:08:11",-6.7242501,"107.9597953"
84,MWCNU PASEH,Dusun Sukaasih RT 003 RW 008 Desa Legok Kaler Kecamatan Paseh Kabupaten Sumedang ( Pontren Nurussalaam Ash-shomariyah ) 45381,"082126118424","","",3211150,69,22,,"2020-07-07 01:11:27","2020-07-07 01:11:27",-6.7974671,"107.9669408"
85,MWCNU DARMARAJA ,Dsn. Cipaok RT. 04 RW. 01 Desa Tarunajaya Kec. Darmaraja Kab. Sumedang 45372,"081394980275",darmarajamwcnu@gmail.com,"",3211080,69,22,,"2020-07-07 01:13:09","2020-07-07 01:13:09",-6.903877 ,"108.065917"
86,MWCNU CISITU,Dusun Ramoseh Rt 03 Rw 08 Desa Linggajaya  Kecamatan Cisitu  Kabupaten Sumedang (Pontren Hikmatul Qur'an) 45371,"082219070314","","",3211071,69,22,,"2020-07-07 01:15:18","2020-07-07 01:15:18",-6.8916886,"107.9871652"
87,MWCNU CISARUA,Dusun Jambu RT 03 RW 02 Desa Cimara Kaler Kecamatan Cisarua Kabupaten Sumedang ( Pontren Ad-Daroen ) 45381,"085220026760","","",3211161,69,22,,"2020-07-07 01:20:03","2020-07-07 01:20:03",-6.8259391,"107.9769092"
88,MWCNU SUMEDANG UTARA,"Jalan anggkrek gang margaja rt 03 rw 18
kelurahan situ Sumedang Utara
Kode pos 45323 ","085321126874",Smdutaramwcnu@gmail.com,"",3211060,69,22,,"2020-07-07 01:22:15","2020-07-07 01:22:15",-6.8373176,"107.9116758"
89,MWC NU Kecamatan Agrabinta,Kp. Mekabakti Rt. 002/002 Desa Mekarsari,"08157035667",-,-,3203010,61,7,7,"2020-07-07 11:53:34","2021-08-13 07:04:04",-7.3809742,"106.8158824"
90,MWC NU Kecamatan Leles,Jl. Leles Km. 13 Kp. Batukasur Desa Mandalawangi ,"085863571952",-,-,3203011,61,7,7,"2020-07-07 11:54:12","2021-08-13 07:28:40",-7.3399043,"106.9475139"
91,MWC NU Kecamatan Sindangbarang,Kp. Cimareme Desa Talagasari,"081572920699",-,-,3203020,61,7,7,"2020-07-07 11:55:16","2021-08-13 06:56:46",-7.4464636,"107.0719328"
92,MWC NU Kecamatan Cidaun,Pondok Pesantren Al-Muttaqin Kp. Cibuntu Rt. 001/004 Desa Cisalak,"085659480757",-,-,3203030,61,7,7,"2020-07-07 11:55:33","2021-08-13 06:47:10",-7.3781807,"107.2072964"
93,MWC NU Kecamatan Naringgul,Pondok Pesantren Yanururu. Kp. Tipar Desa Naringgul,"082321270519",-,-,3203040,61,7,7,"2020-07-07 11:55:55","2021-08-13 06:59:39",-7.3436248,"107.1806314"
94,MWC NU Kecamatan Cibinong,Pondok Pesantren Darul Musyawaroh Rt. 002/010 Desa Panyindangan,"085862883257",-,-,3203050,61,7,7,"2020-07-07 11:56:16","2021-08-13 06:41:40",-7.3221477,"107.037181"
95,MWC NU Kecamatan Cikadu,Pondok Pesantren Al-Falah Rt. 001/001 Desa Mekarwangi.,"082320709312",-,-,3203051,61,7,7,"2020-07-07 11:56:36","2021-08-13 06:40:30",-7.3139204,"107.1240062"
96,MWC NU Kecamatan Tanggeung,Kp. Mekar Mulya Rt. 001/001 Desa Kertajaya,"085863450109",-,-,3203060,61,7,7,"2020-07-07 11:56:56","2021-08-13 06:49:50",-7.2546086,"107.0917352"
97,MWC NU Kecamatan Pasir Kuda,Jl. raya Kubang Desa Mekarmulya,"085222135646",-,-,3203061,61,7,7,"2020-07-07 11:57:18","2021-08-13 06:38:08",-7.2111964,"107.1576769"
98,MWC NU Kecamatan Kadupandak,Kp. Jatiwangi Rt. 001/005 Desa Sukakerta ,"085871570975",-,-,3203070,61,7,7,"2020-07-07 11:57:43","2021-08-13 07:21:23",-7.2107354,"106.9498839"
99,MWC NU Kecamatan Cijati,Jl. Raya Bojongkasih Desa Bojonglarang ,"085888444654",-,-,3203071,61,7,7,"2020-07-07 11:57:59","2021-08-13 06:43:18",-7.2881786,"106.9816023"
100,MWC NU Kecamatan Takokak,Kp. Sukarilah Rt. 002/002 Desa Waringinsari ,"082115128683",-,-,3203080,61,7,7,"2020-07-07 11:58:15","2021-08-13 07:05:13",-7.1942671,"106.9681709"
101,MWC NU Kecamatan Sukanagara,Pondok Pesantren Thoriqul Jannah. Kp. Rawasari Rt. 003/002 Desa Sukanagara,"081462270322",-,-,3203090,61,7,7,"2020-07-07 11:58:42","2021-08-13 07:06:16",-7.1032098,"107.0198589"
102,MWC NU Kecamatan Pagelaran,DKM Kaum Nursaadah Kp. Pasar Rt. 006/001 Desa Pagelaran,"085721463343",-,-,3203100,61,7,7,"2020-07-07 11:58:59","2021-08-13 06:58:17",-7.1600133,"107.1159783"
103,MWC NU Kecamatan Campaka,Pondok Pesantren Darurrohman Attaqwa Kp. CiKekep Rt. 006/003 Desa Cidadap,"083837318019",-,-,3203110,61,7,7,"2020-07-07 11:59:29","2021-08-13 07:02:00",-7.020337,"107.1299157"
104,MWC NU Kecamatan Campaka Mulya,Kp. Sukalilah Rt. 005/001 Desa Campakamulya,"085646727400",-,-,3203111,61,7,7,"2020-07-07 11:59:55","2021-08-13 06:50:55",-7.0717444,"107.1471644"
105,MWC NU Kecamatan Cibeber,"Kp. Babakan Gelar, Rt. 007/001 Desa Cibaregbeg ","081563426232",-,-,3203120,61,7,7,"2020-07-07 12:00:14","2021-08-13 06:53:19",-6.9079846,"107.1619512"
106,MWC NU Kecamatan Warungkondang,Pondok Pesantren Al-Muin. Jl. Raya Sukabumi Km. 06 Kp. Cibanban Desa Ciwalen.,"085712192247",-,-,3203130,61,7,7,"2020-07-07 12:00:32","2021-08-13 06:39:27",-6.857172,"107.0806154"
107,MWC NU Kecamatan Gekbrong,Pondok Pesantren Asy Syarifiyah Kp. Cibleng 003/001 Desa Sukaratu,"082320056787",-,-,3203131,61,7,7,"2020-07-07 12:00:53","2021-08-13 06:44:33",-6.859324,"106.9719863"
108,MWC NU Kecamatan Cilaku,Kp. Pasirkenal 002/010 Desa Ciharashas ,"087820230009",-,-,3203140,61,7,7,"2020-07-07 12:01:13","2021-08-13 06:45:59",-6.8692316,"107.1103233"
109,MWC NU Kecamatan Sukaluyu,Pondok Pesantren Al-Ikhlas Al Musri' Rt. 006/005 Desa Hegarmanah,"087714730777",-,-,3203150,61,7,7,"2020-07-07 12:01:32","2021-08-13 07:00:52",-6.7946607,"107.1991298"
110,MWC NU Kecamatan Bojongpicung,"","","","",3203160,61,7,,"2020-07-07 12:01:50","2020-07-07 12:01:50","",""
112,MWC NU Kecamatan Haurwangi,Pondok Pesantren Al-Inabah. Kp. Mareleng Desa Kertamukti ,"089658047787",-,-,3203161,61,7,7,"2020-07-07 12:02:09","2021-08-13 06:55:35",-6.8449016,"107.2811938"
113,MWC NU Kecamatan Ciranjang,"Pondok Pesantren Arridho. Jl. Moch Ali 2.5 Km, Kp. Rawabango Desa Mekargalih","087820399572",-,-,3203170,61,7,7,"2020-07-07 12:02:32","2021-08-13 06:52:12",-6.8317678,"107.2590859"
114,MWC NU Kecamatan Mande,Pondok Pesantren Daarusyfa Kp. Jangari Rt. 005/011 Desa Bobojong,"085659415756",-,-,3203180,61,7,7,"2020-07-07 12:02:53","2021-08-13 06:48:43",-6.7563855,"107.1155104"
115,MWC NU Kecamatan Karangtengah,Pondok Pesantren Miftahul Khoer. Kp. Kulur Rt. 001/007 Desa Ciherang.,"08817250099",-,-,3203190,61,7,7,"2020-07-07 12:03:11","2021-08-13 06:35:36",-6.7914686,"107.1946558"
116,MWC NU Kecamatan Cianjur,"","","","",3203200,61,7,,"2020-07-07 12:03:34","2020-07-07 12:03:34","",""
117,MWC NU Kecamatan Cugenang,Pondok Pesantren Al-Mutmainnah. Kp. Sarampad Rt. 003/002 Desa Sarampad.,"085294851584",-,-,3203210,61,7,7,"2020-07-07 12:03:56","2021-08-13 06:36:57",-6.8068071,"107.0314304"
118,MWC NU Kecamatan Pacet,Komplek Maarif Pacet Desa Cipendawa,"081912231113",-,-,3203220,61,7,7,"2020-07-07 12:04:13","2021-08-13 07:27:36",-6.7522669,"107.0437227"
120,MWC NU Kecamatan Cipanas,"Kp. Balakang Kidul, RT. 003/002 Desa Sindanglaya Kecamatan Cipanas","082128808271","","",3203221,61,7,7,"2020-07-07 12:04:33","2021-09-19 04:28:21",-6.7272823,"107.0393731"
121,MWC NU Kecamatan Sukaresmi,Ponpes Roudotul Mubtadi'ien Kp. Joglo Rt. 005 Rw. 002 Desa Nagrak. ,"085220894482",-,-,3203230,61,7,7,"2020-07-07 12:04:50","2021-08-13 06:33:51",-6.715891,"107.026484"
122,MWC NU Kecamatan Cikalongkulon,Kp. Ngantay Rt. 004/001 Desa Lembahsari,"085624919798",-,-,3203240,61,7,7,"2020-07-07 12:05:10","2021-08-13 06:54:28",-6.6712521,"107.1426499"
125,Bekasi Timur,"","","","",3275040,81,13,,"2021-06-16 07:46:04","2021-06-16 07:46:04","",""
126,Bekasi Barat,"","","","",3275060,81,13,,"2021-06-16 07:46:44","2021-06-16 07:46:44","",""
127,Bekasi Utara,"","","","",3275070,81,13,,"2021-06-16 07:47:06","2021-06-16 07:47:06","",""
128,Bekasi Selatan,"","","","",3275050,81,13,,"2021-06-16 07:47:29","2021-06-16 07:47:29","",""
129,Rawalumbu,"","","","",3275041,81,13,,"2021-06-16 07:47:49","2021-06-16 07:47:49","",""
130,Medan Satria,"","","","",3275061,81,13,,"2021-06-16 08:03:11","2021-06-16 08:03:11","",""
131,Jatiasih,"","","","",3275020,81,13,,"2021-06-16 08:03:35","2021-06-16 08:03:35","",""
132,Jatisampurna,"","","","",3275011,81,13,,"2021-06-16 08:03:55","2021-06-16 08:03:55","",""
133,Pondokmelati,"","","","",3275012,81,13,,"2021-06-16 08:04:27","2021-06-16 08:04:27","",""
134,Mustikajaya,"","","","",3275031,81,13,,"2021-06-16 08:04:48","2021-06-16 08:04:48","",""
135,Pondokgede,"","","","",3275010,81,13,,"2021-06-16 08:05:10","2021-06-16 08:05:10","",""
136,Bantargebang,"","","","",3275030,81,13,,"2021-06-16 08:05:35","2021-06-16 08:05:35","",""
137,MWC NU SETU,"Perumahan grand harmoni Blok H4 No 35, lubang buaya, Kec. Setu, Bekasi, Jawa Barat 17520","081389375508","","",3216010,74,14,14,"2021-06-16 08:05:36","2021-09-01 14:50:04",-6.278344733047801,"107.07113434373075"
138,MWC NU Pataruman,Sukamaju,"","","",3279030,85,27,27,"2021-06-16 08:08:10","2021-06-16 08:08:45","",""
139,MWC NU Langensari,"Gedung Dakwah Langensari
Dusun Langen","","","",3279040,85,27,,"2021-06-16 08:11:24","2021-06-16 08:11:24","",""
140,MWC NU Banjar,"","","","",3279010,85,27,,"2021-06-16 08:13:13","2021-06-16 08:13:13","",""
141,MWC NU SERANG BARU,"Kp. Pasirandu RT/RW 09/05, Sukasari, Kec. Serang Baru, Bekasi, Jawa Barat 17330","081383624803","","",3216021,74,14,14,"2021-06-16 08:13:24","2021-09-01 14:53:09",-6.382725194603749,"107.10587887318788"
142,MWC NU Purwaharja,"","","","",3279020,85,27,,"2021-06-16 08:13:47","2021-06-16 08:13:47","",""
143,MWC NU CIKARANG UTARA,Kp. Harapan Baru Desa Cikarang Kota,"089643099321","","",3216061,74,14,14,"2021-06-16 08:15:30","2021-08-28 04:54:52","",""
